feature,Common-bean_G13094_cooked_pos_472025_011,Common-bean_G13094_cooked_pos_472025_012,Common-bean_G13094_cooked_pos_472025_013,Common-bean_G17162A_cooked_pos_472025_014,Common-bean_G17162A_cooked_pos_472025_015,Common-bean_G17162A_cooked_pos_472025_016,Common-bean_G4449_cooked_pos_472025_023,Common-bean_G4449_cooked_pos_472025_024,Common-bean_G4449_cooked_pos_472025_025,Lima-bean_G26506_cooked_pos_472025_017,Lima-bean_G26506_cooked_pos_472025_018,Lima-bean_G26506_cooked_pos_472025_019,Tepary-bean_G40084_cooked_pos_472025_020,Tepary-bean_G40084_cooked_pos_472025_021,Tepary-bean_G40084_cooked_pos_472025_022,Common-bean_G4449_019,Common-bean_G4449_020,Common-bean_G4449_021,Common-bean_G13094_022,Common-bean_G13094_023,Common-bean_G13094_024,Lima-bean_G26506_051,Lima-bean_G26506_052,Lima-bean_G26506_053,Common-bean_G17162A_038,Common-bean_G17162A_039,Common-bean_G17162A_040,Tepary-bean_G40084_085,Tepary-bean_G40084_086,Tepary-bean_G40084_087
Group,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,Cooked,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
667.2057371@96.52447333121108_neg,0,0,0,28339.67852,54204.44636,54231.93217,0,0,0,0,0,0,62916.9257,61896.75797,61651.24403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.197199@678.6366369948523_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36247.11566,34869.15908,42790.01734,0,0,0,0,0,0
667.1965867@146.1255780771716_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.1872017@263.847018542719_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0380811,156.0884204,282.3819216,0,0,0
667.1645108@151.4345498304745_neg,1064.770451,967.409182,1274.05117,2539.861201,4222.894768,4693.8676,267.5316262,191.6912243,259.9339117,16872.38164,16586.70597,16202.71527,6290.629688,6624.858203,6604.370935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.150748@267.3343123480305_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.1507225@281.9570575455479_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.1503316@318.0152525982678_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.109846@157.2113531148022_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.1084905@162.5498173738846_neg,0,0,0,0,0,0,0,0,0,11236.6758,15536.70703,15836.33849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.0771256@157.1816557684355_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.9929885@157.0258257381095_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.965734@157.1222984779017_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.908261@157.1668257963519_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.8801279@157.2187400491944_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.7936952@157.1594076934602_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.79186@162.3106501494598_neg,0,0,0,0,0,0,0,0,0,17096.72633,16433.12426,23151.39934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.7015483@162.3789748566688_neg,0,0,0,0,0,0,0,0,0,17127.3045,31533.35718,16535.34873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.6362409@162.5156611701187_neg,0,0,0,0,0,0,0,0,0,9422.359511,24197.00557,12866.16285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.5539164@157.1668257963519_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.5239647@157.1371284499853_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.4600338@740.7566466896022_pos,193341.2782,191222.3225,175258.9941,169599.5664,154984.9812,161493.5967,171671.0157,156462.8474,160063.4697,129437.9834,139067.6177,129122.4112,183755.4933,176910.328,174256.6587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.435926@157.0481049815843_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.4048337@157.2484436292609_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.401592@162.5498173738846_neg,0,0,0,0,0,0,0,0,0,35469.59366,35635.44976,35531.93439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.3452829@214.8145738825465_pos,48726.28432,48990.27293,48572.33227,5907.210021,3131.187683,4655.023646,114.1436189,119.6774167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.3415771@162.3789748566688_neg,0,0,0,0,0,0,0,0,0,43073.12562,42200.32423,42042.7958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.3124099@156.888528497613_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.2802208@156.9318215434812_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.2171368@55.24639331662802_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13188.80075,2929.272292,16164.32748,1397.811514,1899.97904,2152.388575
666.2047426@162.3448186529029_neg,0,0,0,0,0,0,0,0,0,1692255.71,1665263.025,1663385.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.1662283@214.9604051753979_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400.87574,8957.879894,7795.280005,45.65623917,50.65426597,48.59169318
666.1653369@199.534622288199_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6734.659467,6480.039677,7056.926351,0,0,0
666.1502906@207.7284804213325_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37651.76113,37344.40274,37906.47738,17487.58752,19360.07127,18128.451,299.2875229,926.1104021,1121.720586,185.7929124,386.7863708,860.5907695,489.9599585,4308.215361,6736.924049
666.1469641@162.6181482309323_neg,0,0,0,813.0247707,377.6025983,947.6197135,0,0,0,37718.80825,38739.19329,38582.28966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.1410134@156.806636381908_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.1095533@161.96900201406_neg,0,0,0,0,0,0,0,0,0,39867.87257,39704.72752,15476.08427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.1087646@299.6835619277734_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.0806692@157.2113531148022_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.0704188@156.7672840033826_neg,0,0,0,1198.433548,678.1942605,750.4371211,0,0,0,42811.09788,42828.29535,42101.10588,68.27959371,77.19428145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.0507027@157.4928420678945_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.02161@162.4473364629097_neg,0,0,0,0,0,0,0,0,0,41916.13135,41181.2429,40889.90723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
